,commenter_id,commenter_name,comment_text,comment_time
3361,100057855761956,Huong Zang,Ng Quỳnh Hương m ah?,2023-11-15 00:00:00
3362,100084240927599,William Roberts,Linh đcm riel või nồi =))))))))))))))))\n)))))),2023-11-15 00:00:00
3363,100024286569128,Linh,William Roberts tao,2023-11-15 00:00:00
3364,100084240927599,William Roberts,Linh tao,2023-11-15 00:00:00
3365,100014880455984,Chee Cat,Insight mất lòng :)),2023-11-15 00:00:00
3366,100072653143956,Thu Thủy,"Insight mất lòng suỵt, be bé thui ngta đánh giá",2023-11-15 00:00:00
3367,100011221902968,Christina Trần,Mi Lo chắc đây là lí do 🥹,2023-11-15 00:00:00
3368,100028432363531,Mi Lo,Christina Trần chính là nó 😃,2023-11-15 00:00:00
3369,100042663871968,Xiu Xiu,Insight mất lòng đã nói đúng xin đừng nói to làm ơn 😞,2023-11-15 00:00:00
3370,100056220886367,Huyen Nguyen,Insight mất lòng Bun Riu,2023-11-15 00:00:00
3371,100008523122916,Anh Kiều,Insight mất lòng s đúng dị baaa 🥹,2023-11-15 00:00:00
3372,100051100657792,Bun Riu,Huyen Nguyen .....qua khu r,2023-11-15 00:00:00
3373,100081749325241,Tô Tô,Potas Chip it sed but it tru-,2023-11-15 00:00:00
3374,100083714103086,Potas Chip,Tô Tô xin lỗi tôi của ngày xưa 😿,2023-11-15 00:00:00
3375,100011240107202,Linh Hà,Phương Bùi ah shit :))),2023-11-22 00:00:00
3376,100016261809236,Phương Bùi,Linh Hà chuẩn đét,2023-11-22 00:00:00
3377,100011240107202,Linh Hà,Phương Bùi cta đã bị tha hóa :)),2023-11-22 00:00:00
3378,100016261809236,Phương Bùi,"Linh Hà không phải, chúng ta đang lên 1 tầm cao mới a. ┐(´∇｀)┌",2023-11-22 00:00:00
3379,100031503167361,Nguyen Hoang Yen Nhi,Cà Chua ời ơi ời ơi,2023-11-22 00:00:00
3380,100036683873772,Cà Chua,Nguyen Hoang Yen Nhi chỉ có bxa hỉu oxa,2023-11-22 00:00:00
3381,100057059674368,Nguyễn Thị Bích Tuyền,Dương Bảo Quỳnh An Nghe quen ko :)),2023-11-22 00:00:00
3382,100015000888587,Dương Bảo Quỳnh An,Nguyễn Thị Bích Tuyền thời huy hoàng đó,2023-11-22 00:00:00
3383,100009140712773,Hắc Miêu,Trọng sinh cái là từ đứng đầu lớp xuống cuối dưới sự ngỡ ngàng của thầy cô bạn bè,2023-11-15 00:00:00
3384,100042008694025,Hoàn Trung Phong,Ôn thi đh dậy từ 3h sáng ôn bài. Lên đh ngủ quên cả giờ đi học :))),2023-11-15 00:00:00
3385,100023050590086,Thảo Vân,:)),2023-11-15 00:00:00
3386,100030370687349,Lu Lu,Hà T. Thu Diều 🥹 đần đi roài,2023-11-15 00:00:00
3387,100065750706589,Hà T. Thu Diều,Lu Lu giờ giải 1 câu còn không được :))),2023-11-15 00:00:00
3388,100017702028297,Ngọc Bích,Quỳnh Trang cho tao tiền học lại,2023-11-15 00:00:00
3389,100067886105033,Dieu Phuong,:))),2023-11-15 00:00:00
3390,100025007885299,Hà Ngọc Hân,Gia Hânn có phải v k GH,2023-11-15 00:00:00
3391,100069152725338,Nguyễn Thị Hà Trang,=)))),2023-11-15 00:00:00
3392,100009499613463,Hà Lê,Hà Phương oãi cả chưởng 🥲,2023-11-22 00:00:00
3393,100013034136653,Hà Phương,Hà Lê đạo hàm cosx là nhiu 🌚,2023-11-22 00:00:00
3394,100009499613463,Hà Lê,Hà Phương điên khùng điên khùng,2023-11-22 00:00:00
3395,100047567508622,Lê Ngọc Hân,=))))))),2023-11-23 00:00:00
3396,100003882016329,Nguyễn Việt Châu,🙂,2023-11-22 00:00:00
3397,100010757281961,Trần Lam Phương,☺️☺️,2023-11-15 00:00:00
3398,100027338206730,Phương Thuỳ,Nhi Đoàn bn ổn khong,2023-11-22 00:00:00
3399,100026225439713,Nhi Đoàn,Phương Thuỳ nu,2023-11-22 00:00:00
3400,100017847993137,Nguyen Chau Tuyet Minh,Ngoc Truc Vo,2023-11-15 00:00:00
3401,100015771522379,Ngoc Truc Vo,Nguyen Chau Tuyet Minh giờ tui sắp khờ r,2023-11-15 00:00:00
3402,100001563135805,Hải Trinh,"trước ôn thi não như chụp ảnh quyển sách luôn, giờ buổi sáng vừa ăn gì còn nghĩ mãi mới ra 🤯🤯🤯",2023-11-15 00:00:00
3403,100008653129280,Huỳnh Thị Yến Nhi,sau khi lên đại học toi đã thay não :)),2023-11-15 00:00:00
3404,100028417264508,Meii,hm....,2023-11-15 00:00:00
3405,100060296115738,Dang Nguyen Anh Thu,giờ nhớ chết liền =)))),2023-11-15 00:00:00
3406,100025649596898,Phuong Thuong,Dinh Minh Chien về dạy chị hình kg đi quá khổ r 😭,2023-11-15 00:00:00
3407,100044341094692,Dinh Minh Chien,Phuong Thuong tha t toán cao cấp đủ khổ rồi,2023-11-15 00:00:00
3408,1686445391,Ngọc Fly,Ngọc Ngọc não bạn h tnao =))),2023-11-15 00:00:00
3409,100003042158517,Ngọc Ngọc,Ngọc Fly chắc vẫn còn vài nếp nhăn 🤣🤣🤣,2023-11-15 00:00:00
3410,100034707521820,Mai Linh,Đào Trang giờ từ you cũng phải tra từ điền,2023-11-15 00:00:00
3411,100031138778600,Đào Trang,Mai Linh elderly,2023-11-15 00:00:00
3412,100019250880727,Hoa Mao,có cộng thôi mà cũng sai,2023-11-15 00:00:00
3413,100032484860763,Bánh Bao,=)) uh nhỉ,2023-11-15 00:00:00
3414,100065503813130,Mỹ Bôngg,Thiệt sự,2023-11-22 00:00:00
3415,100027614569646,Bùi Quốc Cường,Bảo Trâm Lê Thanh Tuyền cũng nể bản thân :)))),2023-11-15 00:00:00
3416,100025427672759,Bảo Trâm,Bùi Quốc Cường giờ tới tiếng anh nè☺️,2023-11-15 00:00:00
3417,100014309131630,Ngoc Thinh,TB Phúc,2023-11-15 00:00:00
